"link","Link_url","count"
"[Rd] R-devel Digest, Vol 83, Issue 2 ","https://stat.ethz.ch/pipermail/r-devel/2010-January/056237.html",14
"[Rd] Error in generating sweave-tex -> pdf file ","https://stat.ethz.ch/pipermail/r-devel/2010-December/059472.html",14
"[Rd] Reading 64-bit integers ","https://stat.ethz.ch/pipermail/r-devel/2011-March/060344.html",14
"[Rd] Revision of shell.exec? ","https://stat.ethz.ch/pipermail/r-devel/2011-September/062004.html",14
"[Rd] Question on parsing R code from C ","https://stat.ethz.ch/pipermail/r-devel/2011-November/062498.html",14
"[Rd] R CMD check and error in an \Sexpr in an Rd file ","https://stat.ethz.ch/pipermail/r-devel/2011-November/062395.html",14
"[Rd] bug in rank(), order(), is.unsorted() on character vector ","https://stat.ethz.ch/pipermail/r-devel/2011-December/062753.html",14
"[Rd] requesting a new SIG mailing list ","https://stat.ethz.ch/pipermail/r-devel/2012-February/063261.html",14
"[Rd] [patch] giving library() a 'version' argument ","https://stat.ethz.ch/pipermail/r-devel/2012-April/063813.html",14
"[Rd] Best way to locate R executable from within R? ","https://stat.ethz.ch/pipermail/r-devel/2012-May/064145.html",14
"[Rd] Patch proposal for R style consistency (concerning	deparse.c) ","https://stat.ethz.ch/pipermail/r-devel/2013-May/066531.html",14
"[Rd] should the text for RIGHT_ASSIGN be -> in getParseData()? ","https://stat.ethz.ch/pipermail/r-devel/2013-July/066929.html",14
"[Rd] ‘:::’ call ","https://stat.ethz.ch/pipermail/r-devel/2013-August/067267.html",14
